Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1994,1,Brazil,7,5,2,0,11,3,8,17
1994,2,Italy,7,4,2,1,8,5,3,14
1994,3,Sweden,7,3,3,1,15,8,7,12
1994,4,Bulgaria,7,3,1,3,10,11,−1,10
1994,5,Germany,5,3,1,1,9,7,2,10
1994,6,Romania,5,3,1,1,10,9,1,10
1994,7,Netherlands,5,3,0,2,8,6,2,9
1994,8,Spain,5,2,2,1,10,6,4,8
1994,9,Nigeria,4,2,0,2,7,4,3,6
1994,10,Argentina,4,2,0,2,8,6,2,6
1994,11,Belgium,4,2,0,2,4,4,0,6
1994,12,Saudi Arabia,4,2,0,2,5,6,−1,6
1994,13,Mexico,4,1,2,1,4,4,0,5
1994,14,United States,4,1,1,2,3,4,−1,4
1994,15,Switzerland,4,1,1,2,5,7,−2,4
1994,16,Republic of Ireland,4,1,1,2,2,4,−2,4
1994,17,Norway,3,1,1,1,1,1,0,4
1994,18,Russia,3,1,0,2,7,6,1,3
1994,19,Colombia,3,1,0,2,4,5,−1,3
1994,20,South Korea,3,0,2,1,4,5,−1,2
1994,21,Bolivia,3,0,1,2,1,4,−3,1
1994,22,Cameroon,3,0,1,2,3,11,−8,1
1994,23,Morocco,3,0,0,3,2,5,−3,0
1994,24,Greece,3,0,0,3,0,10,−10,0
