Year,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1990,1,West Germany,7,5,2,0,15,5,10,12
1990,2,Argentina,7,2,3,2,5,4,1,7
1990,3,Italy,7,6,1,0,10,2,8,13
1990,4,England,7,3,3,1,8,6,2,9
1990,5,Yugoslavia,5,3,1,1,8,6,2,7
1990,6,Czechoslovakia,5,3,0,2,10,5,5,6
1990,7,Cameroon,5,3,0,2,7,9,−2,6
1990,8,Republic of Ireland,5,0,4,1,2,3,−1,4
1990,9,Brazil,4,3,0,1,4,2,2,6
1990,10,Spain,4,2,1,1,6,4,2,5
1990,11,Belgium,4,2,0,2,6,4,2,4
1990,12,Romania,4,1,2,1,4,3,1,4
1990,13,Costa Rica,4,2,0,2,4,6,−2,4
1990,14,Colombia,4,1,1,2,4,4,0,3
1990,15,Netherlands,4,0,3,1,3,4,−1,3
1990,16,Uruguay,4,1,1,2,2,5,−3,3
1990,17,Soviet Union,3,1,0,2,4,4,0,2
1990,18,Austria,3,1,0,2,2,3,−1,2
1990,18,Scotland,3,1,0,2,2,3,−1,2
1990,20,Egypt,3,0,2,1,1,2,−1,2
1990,21,Sweden,3,0,0,3,3,6,−3,0
1990,22,South Korea,3,0,0,3,1,6,−5,0
1990,23,United States,3,0,0,3,2,8,−6,0
1990,24,United Arab Emirates,3,0,0,3,2,11,−9,0
